Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0247383,-0.0208056,0.0796638,656.051,-3097.95,289.212
2,0,0.0258513,-0.0255056,0.0805889,656.045,-3097.94,289.188
3,0,0.0250657,-0.0208787,0.0800295,656.046,-3097.89,289.249
4,0,0.0250674,-0.0211553,0.0798259,656.169,-3097.9,289.19
5,0,0.0155313,-0.0209067,0.0810605,655.782,-3097.5,287.753
6,0,0.00986621,-0.0120397,0.0809001,656.266,-3096.79,286.556
7,0,0.011816,-0.0156845,0.0792242,656.24,-3096.93,287.316
8,0,-0.00288732,-0.0286883,0.114754,651.459,-3093.85,286.784
9,0,-0.00589483,-0.0248497,0.112877,651.564,-3093.78,286.279
10,0,-0.00199536,-0.0117439,0.0918758,654.149,-3098.73,285.18
11,0,-0.00169304,-0.0161836,0.0932928,653.125,-3099.62,285.877
12,0,-0.00293703,-0.0153645,0.0934109,653.051,-3099.6,285.569
13,0,-0.00209778,-0.0158275,0.0929398,653.073,-3099.53,285.633
14,0,0.000374322,-0.0149353,0.0872835,654.176,-3099.85,285.779
15,0,0.00430921,-0.0171673,0.0864048,654.271,-3099.56,286.202
16,0,0.0154272,-0.00909885,0.085233,655.909,-3099.74,285.44
17,0,0.0227399,-0.00444578,0.0857146,656.179,-3099.03,285.968
18,0,0.0234198,-0.00400524,0.0866641,655.456,-3097.06,286.479
19,0,0.014218,-0.00582425,0.0865927,656.164,-3093.84,285.411
20,0,0.0105997,-0.00463089,0.0887258,655.564,-3089.26,285.895
21,0,0.0100772,-0.00163415,0.0761521,657.199,-3085.54,285.749
22,0,0.0103272,-0.00144892,0.0754807,657.202,-3082.75,285.785
23,0,0.0113344,0.00299042,0.0722387,656.658,-3082.17,285.871
24,0,0.0140094,-0.00248217,0.0817406,656.037,-3080.62,285.442
25,0,0.0171652,0.00403241,0.079046,655.789,-3078.5,285.088
26,0,0.0219651,-0.00213353,0.0834709,656.225,-3074.4,285.17
27,0,0.029235,0.000879734,0.087295,656.002,-3069.93,285.916
28,0,0.0188575,0.00709838,0.0830262,655.676,-3063.55,286.079
29,0,0.0206354,0.00689929,0.0841879,655.164,-3057.7,286.1
30,0,0.0230753,0.00010368,0.0854621,655.168,-3052.53,285.913
