%time,field.velocity,field.angle
7176.433906767,9780.0,0.0
7176.442823180,9780.0,0.0
7176.452797416,9780.0,0.0
7176.465018380,9780.0,0.0
7176.475188781,9780.0,0.0
7176.482729875,9780.0,0.0
7176.493511853,9780.0,0.0
7176.504955242,9780.0,0.0
7176.517213789,9780.0,0.0
7176.524476718,9780.0,0.0
7176.535683026,9780.0,0.0
7176.544084194,9780.0,0.0
7176.553355520,9780.0,0.0
7176.570762684,9780.0,0.0
7176.577173205,9780.0,0.0
7176.587862934,9780.0,0.0
7176.594941032,9780.0,0.0
7176.603313201,9780.0,0.0
7176.613550601,9780.0,0.0
7176.624320829,9780.0,0.0
7176.634135234,9780.0,0.0
7176.649301419,9780.0,0.0
7176.655047780,9780.0,0.0
7176.667531659,9780.0,0.0
7176.682142100,9780.0,0.0
7176.688310206,9780.0,0.0
7176.697435534,9780.0,0.0
7176.707645018,9780.0,0.0
7176.721808797,9780.0,0.0
7176.728458149,9780.0,0.0
7176.738472301,9780.0,0.0
7176.749665359,9780.0,0.0
7176.759928842,9780.0,0.0
7176.768403426,9780.0,0.0
7176.779275154,9780.0,0.0
7176.788060318,9780.0,0.0
7176.798311885,9780.0,0.0
7176.808836116,9780.0,0.0
7176.819657927,9780.0,0.0
7176.829143752,9780.0,0.0
7176.839395735,9780.0,0.0
7176.849967882,9780.0,0.0
7176.859372041,9780.0,0.0
7176.881750406,9780.0,0.0
7176.881848738,9780.0,0.0
7176.890855984,9780.0,0.0
7176.900836887,9780.0,0.0
7176.910828206,9780.0,0.0
7176.920225198,9780.0,0.0
7176.930432599,9780.0,0.0
7176.940845497,9780.0,0.0
7176.955172024,9780.0,0.0
7176.961449047,9780.0,0.0
7176.972616271,9780.0,0.0
7176.981615350,9780.0,0.0
7176.992471244,9780.0,0.0
7177.001733904,9780.0,0.0
7177.015465854,9780.0,0.0
7177.021938124,9780.0,0.0
7177.032110692,9780.0,0.0
7177.042242593,9780.0,0.0
7177.052463244,9780.0,0.0
7177.064273629,9780.0,0.0
7177.072456049,9780.0,0.0
7177.082543367,9780.0,0.0
7177.092853267,9780.0,0.0
7177.102023678,9780.0,0.0
7177.112161579,9780.0,0.0
7177.122402646,9780.0,0.0
7177.132582630,9780.0,0.0
7177.143363025,9780.0,0.0
7177.153737758,9780.0,0.0
7177.163936158,9780.0,0.0
7177.174234808,9780.0,0.0
7177.184657790,9780.0,0.0
7177.194327696,9780.0,0.0
7177.213450593,9780.0,0.0
7177.214800330,9780.0,0.0
7177.226299301,9780.0,0.0
7177.237385026,9780.0,0.0
7177.248045256,9780.0,0.0
7177.256656089,9780.0,0.0
7177.266489243,9780.0,0.0
7177.277931132,9780.0,0.0
7177.290090346,9780.0,0.0
7177.297421858,9780.0,0.0
7177.307844924,9780.0,0.0
7177.317878909,9780.0,0.0
7177.327793146,9780.0,0.0
7177.347197624,9780.0,0.0
7177.348799858,9780.0,0.0
7177.356959362,9780.0,0.0
7177.368151003,9780.0,0.0
7177.377699243,9780.0,0.0
7177.388452639,9780.0,0.0
7177.398494124,9780.0,0.0
7177.408646359,9780.0,0.0
7177.421275319,9780.0,0.0
7177.431669218,9780.0,0.0
7177.439626724,9780.0,0.0
7177.449349546,9780.0,0.0
7177.460093024,9780.0,0.0
7177.473319979,9780.0,0.0
7177.480850572,9780.0,0.0
7177.491022057,9780.0,0.0
7177.501337956,9780.0,0.0
7177.511305109,9780.0,0.0
7177.522979245,9780.0,0.0
7177.531722910,9780.0,0.0
7177.559157560,9780.0,0.0
7177.559187560,9780.0,0.0
7177.562843357,9780.0,0.0
7177.572108434,9780.0,0.0
7177.583196909,9780.0,0.0
7177.592293237,9780.0,0.0
7177.602575804,9780.0,0.0
7177.615045099,9780.0,0.0
7177.623958345,9780.0,0.0
7177.632536179,9780.0,0.0
7177.643184408,9780.0,0.0
7177.652683232,9780.0,0.0
7177.662685718,9780.0,0.0
7177.672397957,9780.0,0.0
7177.683386017,9780.0,0.0
7177.693841415,9780.0,0.0
7177.702016169,9780.0,0.0
7177.713370725,9780.0,0.0
7177.722747717,9780.0,0.0
7177.733777193,9780.0,0.0
7177.743454265,9780.0,0.0
7177.756763219,9780.0,0.0
7177.764206230,9780.0,0.0
7177.773955718,9780.0,0.0
7177.784254785,9780.0,0.0
7177.795223928,9780.0,0.0
7177.805778908,9780.0,0.0
7177.825453550,9780.0,0.0
7177.825636715,9780.0,0.0
7177.834538878,9780.0,0.0
7177.845160942,9780.0,0.0
7177.854128104,9780.0,0.0
7177.864516003,9780.0,0.0
7177.878775948,9780.0,0.0
7177.884234311,9780.0,0.0
7177.894438628,9780.0,0.0
7177.905891100,9780.0,0.0
7177.914834930,9780.0,0.0
7177.924410920,9780.0,0.0
7177.942649326,9780.0,0.0
7177.946259290,9780.0,0.0
7177.954898373,9780.0,0.0
7177.964977608,9780.0,0.0
7177.977208489,9780.0,0.0
7177.984202671,9780.0,0.0
7177.994455821,9780.0,0.0
7178.022989293,9780.0,0.0
7178.023145625,9780.0,0.0
7178.025372520,9780.0,0.0
7178.035623920,9780.0,0.0
7178.045668739,9780.0,0.0
7178.055780307,9780.0,0.0
7178.066724284,9780.0,0.0
7178.076859185,9780.0,0.0
7178.086667840,9780.0,0.0
7178.096245663,9780.0,0.0
7178.107175474,9780.0,0.0
7178.116327051,9780.0,0.0
7178.130913242,9780.0,0.0
7178.148340406,9780.0,0.0
7178.153846186,9780.0,0.0
7178.163585091,9780.0,0.0
7178.173737659,9780.0,0.0
7178.182951652,9780.0,0.0
7178.193149886,9780.0,0.0
7178.203587368,9780.0,0.0
7178.213714436,9780.0,0.0
7178.224153668,9780.0,0.0
7178.234266236,9780.0,0.0
7178.244413471,9780.0,0.0
7178.254839786,9780.0,0.0
7178.264386026,9780.0,0.0
7178.274539927,9780.0,0.0
7178.284766911,9780.0,0.0
7178.293888155,9780.0,0.0
7178.304418970,9780.0,0.0
7178.314817535,9780.0,0.0
7178.324950353,9780.0,0.0
7178.348598039,9780.0,0.0
7178.348643039,9780.0,0.0
7178.356890709,9780.0,0.0
7178.366360616,9780.0,0.0
7178.377158678,9780.0,0.0
7178.387349495,9780.0,0.0
7178.396417074,9780.0,0.0
7178.410451854,9780.0,0.0
7178.416423129,9780.0,0.0
7178.427214607,9780.0,0.0
7178.437384675,9780.0,0.0
7178.448737648,9780.0,0.0
7178.457299481,9780.0,0.0
7178.474917226,9780.0,0.0
7178.481755243,9780.0,0.0
7178.491369233,9780.0,0.0
7178.507065330,9780.0,0.0
7178.512185947,9780.0,0.0
7178.521410023,9780.0,0.0
7178.531592424,9780.0,0.0
7178.542196321,9780.0,0.0
7178.552821384,9780.0,0.0
7178.563184950,9780.0,0.0
7178.573274852,9780.0,0.0
7178.583579835,9780.0,0.0
7178.594261897,9780.0,0.0
7178.603361975,9780.0,0.0
7178.615953686,9780.0,0.0
7178.624563019,9780.0,0.0
7178.634066593,9780.0,0.0
7178.644751322,9780.0,0.0
7178.654985556,9780.0,0.0
7178.664337382,9780.0,0.0
7178.675224442,9780.0,0.0
7178.685601425,9780.0,0.0
7178.695764659,9780.0,0.0
7178.705119151,9780.0,0.0
7178.715416634,9780.0,0.0
7178.726031698,9780.0,0.0
7178.743530194,9780.0,0.0
7178.748545312,9780.0,0.0
7178.757718139,9780.0,0.0
7178.768270370,9780.0,0.0
7178.778247939,9780.0,0.0
7178.787669681,9780.0,0.0
