%time,field.velocity,field.angle
6878.864757880,9780.0,0.0
6878.875419526,9780.0,0.0
6878.884701352,9780.0,0.0
6878.905668648,9780.0,0.0
6878.908784535,9780.0,0.0
6878.922801065,9780.0,0.0
6878.929104337,9780.0,0.0
6878.939192238,9780.0,0.0
6878.949712803,9780.0,0.0
6878.960744612,9780.0,0.0
6878.970845014,9780.0,0.0
6878.978944768,9780.0,0.0
6878.990009077,9780.0,0.0
6879.000168728,9780.0,0.0
6879.009051392,9780.0,0.0
6879.019721788,9780.0,0.0
6879.031213842,9780.0,0.0
6879.046243529,9780.0,0.0
6879.050630820,9780.0,0.0
6879.060106894,9780.0,0.0
6879.069945965,9780.0,0.0
6879.080373947,9780.0,0.0
6879.089556608,9780.0,0.0
6879.100593833,9780.0,0.0
6879.109866660,9780.0,0.0
6879.122693952,9780.0,0.0
6879.130570708,9780.0,0.0
6879.142374177,9780.0,0.0
6879.156686037,9780.0,0.0
6879.161392408,9780.0,0.0
6879.170017741,9780.0,0.0
6879.181243798,9780.0,0.0
6879.190864704,9780.0,0.0
6879.201200937,9780.0,0.0
6879.210357598,9780.0,0.0
6879.220715164,9780.0,0.0
6879.231022397,9780.0,0.0
6879.240230807,9780.0,0.0
6879.252247273,9780.0,0.0
6879.261660265,9780.0,0.0
6879.270863426,9780.0,0.0
6879.280224834,9780.0,0.0
6879.297724081,9780.0,0.0
6879.308771306,9780.0,0.0
6879.311485780,9780.0,0.0
6879.321818596,9780.0,0.0
6879.332926321,9780.0,0.0
6879.341057575,9780.0,0.0
6879.351306226,9780.0,0.0
6879.374188503,9780.0,0.0
6879.374303752,9780.0,0.0
6879.382117842,9780.0,0.0
6879.390875757,9780.0,0.0
6879.401170823,9780.0,0.0
6879.411376474,9780.0,0.0
6879.421625458,9780.0,0.0
6879.430990116,9780.0,0.0
6879.441249600,9780.0,0.0
6879.451432834,9780.0,0.0
6879.461871566,9780.0,0.0
6879.471535555,9780.0,0.0
6879.481876204,9780.0,0.0
6879.491572776,9780.0,0.0
6879.502058841,9780.0,0.0
6879.511874329,9780.0,0.0
6879.523806713,9780.0,0.0
6879.533583784,9780.0,0.0
6879.543767601,9780.0,0.0
6879.554661662,9780.0,0.0
6879.566178133,9780.0,0.0
6879.575075213,9780.0,0.0
6879.585394030,9780.0,0.0
6879.606839487,9780.0,0.0
6879.606863487,9780.0,0.0
6879.614561579,9780.0,0.0
6879.624928061,9780.0,0.0
6879.642253226,9780.0,0.0
6879.645102448,9780.0,0.0
6879.654134693,9780.0,0.0
6879.664123013,9780.0,0.0
6879.674392413,9780.0,0.0
6879.684026652,9780.0,0.0
6879.694320386,9780.0,0.0
6879.705202446,9780.0,0.0
6879.714168609,9780.0,0.0
6879.724199845,9780.0,0.0
6879.734401829,9780.0,0.0
6879.744644645,9780.0,0.0
6879.754935212,9780.0,0.0
6879.764354037,9780.0,0.0
6879.775339763,9780.0,0.0
6879.784780838,9780.0,0.0
6879.798337206,9780.0,0.0
6879.804887809,9780.0,0.0
6879.814805879,9780.0,0.0
6879.826102686,9780.0,0.0
6879.835841591,9780.0,0.0
6879.851352773,9780.0,0.0
6879.859965189,9780.0,0.0
6879.868193109,9780.0,0.0
6879.878760173,9780.0,0.0
6879.889341653,9780.0,0.0
6879.898616730,9780.0,0.0
6879.920583849,9780.0,0.0
6879.920698181,9780.0,0.0
6879.929344097,9780.0,0.0
