%time,field.velocity,field.angle
6725.873341025,9780.0,0.0
6725.884603999,9780.0,0.0
6725.894281154,9780.0,0.0
6725.903332066,9780.0,0.0
6725.914079795,9780.0,0.0
6725.924353195,9780.0,0.0
6725.934659844,9780.0,0.0
6725.945115826,9780.0,0.0
6725.955557224,9780.0,0.0
6725.965369462,9780.0,0.0
6725.978588583,9780.0,0.0
6725.986386424,9780.0,0.0
6725.996580408,9780.0,0.0
6726.006909724,9780.0,0.0
6726.016121468,9780.0,0.0
6726.026202536,9780.0,0.0
6726.036596602,9780.0,0.0
6726.047127416,9780.0,0.0
6726.057105402,9780.0,0.0
6726.069780862,9780.0,0.0
6726.078221613,9780.0,0.0
6726.087291275,9780.0,0.0
6726.097702174,9780.0,0.0
6726.112029034,9780.0,0.0
6726.117279400,9780.0,0.0
6726.129085618,9780.0,0.0
6726.141218000,9780.0,0.0
6726.151599482,9780.0,0.0
6726.175348167,9780.0,0.0
6726.175477000,9780.0,0.0
6726.181639440,9780.0,0.0
6726.192765331,9780.0,0.0
6726.202946815,9780.0,0.0
6726.212646554,9780.0,0.0
6726.232146864,9780.0,0.0
6726.234088096,9780.0,0.0
6726.243140424,9780.0,0.0
6726.253773904,9780.0,0.0
6726.263003731,9780.0,0.0
6726.273171548,9780.0,0.0
6726.291827200,9780.0,0.0
6726.294703339,9780.0,0.0
6726.304641409,9780.0,0.0
6726.315390554,9780.0,0.0
6726.324826212,9780.0,0.0
6726.335725689,9780.0,0.0
6726.346136671,9780.0,0.0
6726.354952835,9780.0,0.0
6726.364856906,9780.0,0.0
6726.378949102,9780.0,0.0
6726.385122042,9780.0,0.0
6726.394481950,9780.0,0.0
6726.404962682,9780.0,0.0
6726.414752920,9780.0,0.0
6726.425678563,9780.0,0.0
6726.434323896,9780.0,0.0
6726.444468547,9780.0,0.0
6726.454650281,9780.0,0.0
6726.465050680,9780.0,0.0
6726.475148665,9780.0,0.0
6726.485238483,9780.0,0.0
6726.496008128,9780.0,0.0
6726.507174436,9780.0,0.0
6726.517107090,9780.0,0.0
6726.527205908,9780.0,0.0
6726.537172311,9780.0,0.0
6726.546713635,9780.0,0.0
6726.557403197,9780.0,0.0
6726.567414433,9780.0,0.0
6726.584272186,9780.0,0.0
6726.589481552,9780.0,0.0
6726.598957293,9780.0,0.0
6726.608368451,9780.0,0.0
6726.618540435,9780.0,0.0
6726.628801585,9780.0,0.0
6726.638101328,9780.0,0.0
6726.651092868,9780.0,0.0
6726.659175540,9780.0,0.0
6726.669260858,9780.0,0.0
6726.679361510,9780.0,0.0
6726.690370903,9780.0,0.0
6726.699948393,9780.0,0.0
6726.719128206,9780.0,0.0
