%time,field.velocity,field.angle
6537.623614908,9780.0,0.0
6537.632511489,9780.0,0.0
6537.642611973,9780.0,0.0
6537.654632440,9780.0,0.0
6537.667027319,9780.0,0.0
6537.676183563,9780.0,0.0
6537.686533962,9780.0,0.0
6537.700411744,9780.0,0.0
6537.705493195,9780.0,0.0
6537.716403755,9780.0,0.0
6537.725987662,9780.0,0.0
6537.737017138,9780.0,0.0
6537.749611182,9780.0,0.0
6537.757152608,9780.0,0.0
6537.766421351,9780.0,0.0
6537.776776584,9780.0,0.0
6537.788334138,9780.0,0.0
6537.798566038,9780.0,0.0
6537.808807689,9780.0,0.0
6537.817694435,9780.0,0.0
6537.828948492,9780.0,0.0
6537.837483243,9780.0,0.0
6537.848254721,9780.0,0.0
6537.859563778,9780.0,0.0
6537.872165572,9780.0,0.0
6537.880473324,9780.0,0.0
6537.889347238,9780.0,0.0
6537.898127569,9780.0,0.0
6537.908926880,9780.0,0.0
6537.923666320,9780.0,0.0
6537.929953342,9780.0,0.0
6537.939340501,9780.0,0.0
6537.949687483,9780.0,0.0
6537.960282297,9780.0,0.0
6537.969667955,9780.0,0.0
6537.980284602,9780.0,0.0
6537.991515493,9780.0,0.0
6537.999584581,9780.0,0.0
6538.009678149,9780.0,0.0
6538.018857393,9780.0,0.0
6538.029146960,9780.0,0.0
6538.039761690,9780.0,0.0
6538.049148098,9780.0,0.0
6538.059190750,9780.0,0.0
6538.069528066,9780.0,0.0
6538.079778800,9780.0,0.0
6538.089729870,9780.0,0.0
6538.099226527,9780.0,0.0
6538.109238763,9780.0,0.0
6538.119673662,9780.0,0.0
6538.131712128,9780.0,0.0
6538.139438969,9780.0,0.0
6538.150785609,9780.0,0.0
6538.159987102,9780.0,0.0
6538.170315835,9780.0,0.0
6538.186183847,9780.0,0.0
6538.190223308,9780.0,0.0
6538.200477875,9780.0,0.0
6538.209889866,9780.0,0.0
6538.221430254,9780.0,0.0
6538.230964828,9780.0,0.0
6538.239990990,9780.0,0.0
6538.259195970,9780.0,0.0
6538.261856027,9780.0,0.0
6538.270964688,9780.0,0.0
6538.281134256,9780.0,0.0
6538.289967170,9780.0,0.0
6538.300074238,9780.0,0.0
6538.310868216,9780.0,0.0
6538.320865786,9780.0,0.0
6538.329912948,9780.0,0.0
6538.340273930,9780.0,0.0
6538.350366499,9780.0,0.0
6538.360519316,9780.0,0.0
6538.370815549,9780.0,0.0
6538.380083709,9780.0,0.0
6538.390239110,9780.0,0.0
6538.400522843,9780.0,0.0
6538.410713328,9780.0,0.0
6538.420167485,9780.0,0.0
6538.430929214,9780.0,0.0
6538.441597360,9780.0,0.0
6538.460356427,9780.0,0.0
6538.462347908,9780.0,0.0
6538.471194239,9780.0,0.0
6538.481845385,9780.0,0.0
6538.492091368,9780.0,0.0
6538.502280353,9780.0,0.0
6538.512044758,9780.0,0.0
6538.524793383,9780.0,0.0
6538.531886731,9780.0,0.0
6538.541537637,9780.0,0.0
6538.554937007,9780.0,0.0
6538.562077770,9780.0,0.0
6538.571184765,9780.0,0.0
6538.583318564,9780.0,0.0
6538.591637066,9780.0,0.0
6538.602301129,9780.0,0.0
6538.612092283,9780.0,0.0
6538.621123445,9780.0,0.0
6538.631788092,9780.0,0.0
6538.641642579,9780.0,0.0
6538.663516533,9780.0,0.0
6538.664397857,9780.0,0.0
6538.675548082,9780.0,0.0
6538.685534735,9780.0,0.0
6538.695231724,9780.0,0.0
6538.705526790,9780.0,0.0
6538.715818357,9780.0,0.0
6538.724976017,9780.0,0.0
6538.735222751,9780.0,0.0
6538.745899314,9780.0,0.0
6538.755820800,9780.0,0.0
6538.765359541,9780.0,0.0
6538.775873272,9780.0,0.0
6538.786123505,9780.0,0.0
6538.795422248,9780.0,0.0
6538.807507797,9780.0,0.0
6538.817718281,9780.0,0.0
6538.827295938,9780.0,0.0
6538.837969001,9780.0,0.0
6538.853888346,9780.0,0.0
6538.859290793,9780.0,0.0
6538.874430812,9780.0,0.0
6538.878161276,9780.0,0.0
6538.888774506,9780.0,0.0
6538.898874491,9780.0,0.0
6538.907848320,9780.0,0.0
6538.918172720,9780.0,0.0
6538.929402194,9780.0,0.0
6538.939306930,9780.0,0.0
6538.949213334,9780.0,0.0
6538.959436068,9780.0,0.0
6538.969640885,9780.0,0.0
6538.978900962,9780.0,0.0
6538.991023677,9780.0,0.0
6538.999530427,9780.0,0.0
6539.008866253,9780.0,0.0
6539.019576566,9780.0,0.0
6539.029958381,9780.0,0.0
6539.039106375,9780.0,0.0
6539.056542122,9780.0,0.0
6539.063286973,9780.0,0.0
6539.074084368,9780.0,0.0
6539.084312518,9780.0,0.0
6539.094565919,9780.0,0.0
6539.105340230,9780.0,0.0
6539.114797555,9780.0,0.0
6539.126984686,9780.0,0.0
6539.138100245,9780.0,0.0
6539.146940242,9780.0,0.0
6539.156610481,9780.0,0.0
6539.168403783,9780.0,0.0
6539.177168531,9780.0,0.0
6539.187930093,9780.0,0.0
6539.199406148,9780.0,0.0
6539.208569475,9780.0,0.0
6539.218573211,9780.0,0.0
6539.229107025,9780.0,0.0
6539.238264519,9780.0,0.0
6539.248501670,9780.0,0.0
6539.260837800,9780.0,0.0
6539.268741723,9780.0,0.0
6539.278478461,9780.0,0.0
6539.289143941,9780.0,0.0
6539.298092020,9780.0,0.0
6539.308430920,9780.0,0.0
6539.326140664,9780.0,0.0
6539.329489464,9780.0,0.0
6539.339444201,9780.0,0.0
6539.350347345,9780.0,0.0
6539.359484256,9780.0,0.0
6539.370581814,9780.0,0.0
6539.384573428,9780.0,0.0
6539.399899279,9780.0,0.0
6539.402090424,9780.0,0.0
6539.412605155,9780.0,0.0
6539.421881231,9780.0,0.0
6539.432053049,9780.0,0.0
6539.441834287,9780.0,0.0
6539.455558737,9780.0,0.0
6539.461566012,9780.0,0.0
6539.471881661,9780.0,0.0
6539.481845981,9780.0,0.0
6539.491967716,9780.0,0.0
6539.502409197,9780.0,0.0
6539.514469913,9780.0,0.0
6539.521978173,9780.0,0.0
6539.533217314,9780.0,0.0
6539.542848970,9780.0,0.0
6539.552655458,9780.0,0.0
6539.562127366,9780.0,0.0
6539.572326683,9780.0,0.0
6539.582752832,9780.0,0.0
6539.593333812,9780.0,0.0
6539.602147643,9780.0,0.0
6539.612400626,9780.0,0.0
6539.623062439,9780.0,0.0
6539.632092518,9780.0,0.0
6539.642328668,9780.0,0.0
6539.655242626,9780.0,0.0
6539.665056114,9780.0,0.0
6539.672200127,10580.0,0.0
6539.682512027,10580.0,0.0
6539.693158423,10580.0,0.0
6539.702474749,10580.0,0.0
6539.712682733,10580.0,0.0
6539.725324027,10580.0,0.0
