%time,field.velocity,field.angle
7086.957179948,9780.0,0.0
7086.966814938,9780.0,0.0
7086.977268502,9780.0,0.0
7086.990130711,9780.0,0.0
7087.009776269,9780.0,0.0
7087.009882435,9780.0,0.0
7087.017665442,9780.0,0.0
7087.026907519,9780.0,0.0
7087.036191845,9780.0,0.0
7087.046413663,9780.0,0.0
7087.057221307,9780.0,0.0
7087.066062805,9780.0,0.0
7087.076355871,9780.0,0.0
7087.086687770,9780.0,0.0
7087.096980837,9780.0,0.0
7087.106254580,9780.0,0.0
7087.116710561,9780.0,0.0
7087.132230827,9780.0,0.0
7087.140770327,9780.0,0.0
7087.149175079,9780.0,0.0
7087.159504061,9780.0,0.0
7087.169828294,9780.0,0.0
7087.183090915,9780.0,0.0
7087.191355085,9780.0,0.0
7087.200720827,9780.0,0.0
7087.211094726,9780.0,0.0
7087.226657991,9780.0,0.0
7087.234441165,9780.0,0.0
7087.244553067,9780.0,0.0
7087.254629052,9780.0,0.0
7087.263948794,9780.0,0.0
7087.274449609,9780.0,0.0
7087.284345262,9780.0,0.0
7087.295408155,9780.0,0.0
7087.305902052,9780.0,0.0
7087.315679957,9780.0,0.0
7087.325078949,9780.0,0.0
7087.335368599,9780.0,0.0
7087.345489834,9780.0,0.0
7087.356717391,9780.0,0.0
7087.365096226,9780.0,0.0
7087.375097379,9780.0,0.0
7087.386382435,9780.0,0.0
7087.395096767,9780.0,0.0
7087.405582832,9780.0,0.0
7087.416584308,9780.0,0.0
7087.427168038,9780.0,0.0
7087.437142691,9780.0,0.0
7087.446859513,9780.0,0.0
7087.457608825,9780.0,0.0
7087.466477156,9780.0,0.0
7087.477750462,9780.0,0.0
7087.491250748,9780.0,0.0
7087.497916099,9780.0,0.0
7087.507612838,9780.0,0.0
7087.518210068,9780.0,0.0
7087.529112379,9780.0,0.0
7087.538354956,9780.0,0.0
7087.550869584,9780.0,0.0
7087.560854153,9780.0,0.0
7087.578336816,9780.0,0.0
7087.581107873,9780.0,0.0
7087.590934444,9780.0,0.0
7087.600350435,9780.0,0.0
7087.610597669,9780.0,0.0
7087.629043156,9780.0,0.0
7087.650104784,9780.0,0.0
7087.650368782,9780.0,0.0
7087.651590436,9780.0,0.0
7087.661383008,9780.0,0.0
7087.671584158,9780.0,0.0
7087.683757873,9780.0,0.0
7087.696561498,9780.0,0.0
7087.707700640,9780.0,0.0
7087.715486814,9780.0,0.0
7087.724339895,9780.0,0.0
7087.735523452,9780.0,0.0
7087.745522938,9780.0,0.0
7087.754020606,9780.0,0.0
7087.765822157,9780.0,0.0
7087.775603312,9780.0,0.0
7087.785483216,9780.0,0.0
7087.795947864,9780.0,0.0
7087.805041026,9780.0,0.0
7087.815293426,9780.0,0.0
7087.825405661,9780.0,0.0
7087.836386304,9780.0,0.0
7087.845954294,9780.0,0.0
7087.855218954,9780.0,0.0
7087.865562103,9780.0,0.0
7087.875932085,9780.0,0.0
7087.896327637,9780.0,0.0
7087.896373220,9780.0,0.0
7087.905940543,9780.0,0.0
7087.915358035,9780.0,0.0
7087.925837016,9780.0,0.0
7087.935914918,9780.0,0.0
7087.945180411,9780.0,0.0
7087.959343356,9780.0,0.0
7087.965800793,9780.0,0.0
7087.975652531,9780.0,0.0
7087.986222178,9780.0,0.0
7087.995428672,9780.0,0.0
7088.005805237,9780.0,0.0
7088.015320311,9780.0,0.0
7088.026697867,9780.0,0.0
7088.037458012,9780.0,0.0
7088.046498341,9780.0,0.0
7088.056659992,9780.0,0.0
7088.065205576,9780.0,0.0
7088.076712213,9780.0,0.0
7088.085862791,9780.0,0.0
7088.095702529,9780.0,0.0
7088.107133084,9780.0,0.0
7088.116928989,9780.0,0.0
7088.126623477,9780.0,0.0
7088.137561621,9780.0,0.0
7088.147757022,9780.0,0.0
7088.158175087,9780.0,0.0
7088.174906091,9780.0,0.0
7088.177956394,9780.0,0.0
7088.187865881,9780.0,0.0
7088.197003542,9780.0,0.0
7088.207309358,9780.0,0.0
7088.218049754,9780.0,0.0
7088.227640661,9780.0,0.0
7088.238241474,9780.0,0.0
7088.248099128,9780.0,0.0
7088.257312955,9780.0,0.0
7088.267886935,9780.0,0.0
7088.277867921,9780.0,0.0
7088.287304663,9780.0,0.0
7088.297942726,9780.0,0.0
7088.308614455,9780.0,0.0
7088.319331684,9780.0,0.0
7088.328535178,9780.0,0.0
7088.338836744,9780.0,0.0
7088.357767227,9780.0,0.0
7088.365836148,9780.0,0.0
7088.369642694,9780.0,0.0
7088.384794630,9780.0,0.0
7088.389943330,9780.0,0.0
7088.399588320,9780.0,0.0
7088.409797137,9780.0,0.0
7088.430380103,9780.0,0.0
7088.431363177,9780.0,0.0
7088.441189664,9780.0,0.0
7088.450629823,9780.0,0.0
7088.460457227,9780.0,0.0
7088.470659377,9780.0,0.0
7088.480416532,9780.0,0.0
7088.490174187,9780.0,0.0
7088.500693585,9780.0,0.0
7088.511170983,9780.0,0.0
7088.520007980,9780.0,0.0
7088.530360046,9780.0,0.0
7088.541156108,9780.0,0.0
7088.549868856,9780.0,0.0
7088.560277838,9780.0,0.0
7088.570424073,9780.0,0.0
7088.581123219,9780.0,0.0
7088.590238630,9780.0,0.0
7088.600571779,9780.0,0.0
7088.610791013,9780.0,0.0
7088.628290926,9780.0,0.0
7088.634817862,9780.0,0.0
7088.757523418,9780.0,0.0
7088.757871747,9780.0,0.0
7088.762810533,9780.0,0.0
7088.772111525,9780.0,0.0
7088.783602414,9780.0,0.0
7088.792142830,9780.0,0.0
7088.802603395,9780.0,0.0
7088.814191449,9780.0,0.0
7088.826495329,9780.0,0.0
7088.832968766,9780.0,0.0
7088.842663089,9780.0,0.0
7088.853872979,9780.0,0.0
7088.862253814,9780.0,0.0
7088.872445049,9780.0,0.0
7088.883421108,9780.0,0.0
7088.892565103,9780.0,0.0
7088.915032884,9780.0,0.0
7088.915207715,9780.0,0.0
7088.922969473,9780.0,0.0
7088.932152967,9780.0,0.0
7088.942849863,9780.0,0.0
7088.952950015,9780.0,0.0
7088.965819973,9780.0,0.0
7088.975614211,9780.0,0.0
7088.985847528,9780.0,0.0
7088.994629525,9780.0,0.0
7089.004713677,9780.0,0.0
7089.015755570,9780.0,0.0
7089.025352643,9780.0,0.0
7089.035460878,9780.0,0.0
7089.046069691,9780.0,0.0
7089.055371601,9780.0,0.0
7089.065405170,9780.0,0.0
7089.075558987,9780.0,0.0
7089.085738888,9780.0,0.0
7089.095455544,9780.0,0.0
7089.105566279,9780.0,0.0
7089.114862688,9780.0,0.0
7089.125403835,9780.0,0.0
7089.135423488,9780.0,0.0
7089.145650055,9780.0,0.0
7089.156952028,9780.0,0.0
7089.167511509,9780.0,0.0
7089.177900408,9780.0,0.0
7089.187984393,9780.0,0.0
7089.198042961,9780.0,0.0
7089.214128471,9780.0,0.0
7089.223952209,9780.0,0.0
7089.231295554,9780.0,0.0
7089.241391456,9780.0,0.0
7089.252340766,9780.0,0.0
7089.261234763,9780.0,0.0
7089.271287248,9780.0,0.0
7089.282173226,9780.0,0.0
7089.291095222,9780.0,0.0
7089.301499454,9780.0,0.0
7089.311724354,9780.0,0.0
7089.321055347,9780.0,0.0
7089.331106749,9780.0,0.0
7089.342063226,9780.0,0.0
7089.351471301,9780.0,0.0
7089.362114530,9780.0,0.0
7089.371973351,9780.0,0.0
7089.382445749,9780.0,0.0
7089.391263497,9780.0,0.0
7089.401862310,9780.0,0.0
7089.411219552,9780.0,0.0
7089.425431747,9780.0,0.0
7089.432524678,9780.0,0.0
7089.441781755,9780.0,0.0
7089.452117737,9780.0,0.0
7089.461255315,9780.0,0.0
7089.471550548,9780.0,0.0
7089.488669631,9780.0,0.0
7089.491124358,9780.0,0.0
7089.501244842,9780.0,0.0
7089.511363827,9780.0,0.0
7089.522323304,9780.0,0.0
7089.532732952,9780.0,0.0
7089.542497024,9780.0,0.0
7089.552787674,9780.0,0.0
7089.563786983,9780.0,0.0
7089.571904488,9780.0,0.0
7089.582133805,9780.0,0.0
7089.593128448,9780.0,0.0
7089.602674188,9780.0,0.0
7089.612051097,9780.0,0.0
7089.622973157,9780.0,0.0
7089.632349399,9780.0,0.0
7089.642566300,9780.0,0.0
7089.653272445,9780.0,0.0
7089.662109359,9780.0,0.0
7089.672495258,9780.0,0.0
7089.688571935,9780.0,0.0
7089.694928373,9780.0,0.0
7089.703093460,9780.0,0.0
7089.712951198,9780.0,0.0
7089.722653270,9780.0,0.0
7089.732730422,9780.0,0.0
7089.743118320,9780.0,0.0
7089.761560391,9780.0,0.0
7089.763555538,9780.0,0.0
7089.773861771,9780.0,0.0
7089.784596750,9780.0,0.0
7089.793430164,9780.0,0.0
7089.803696481,9780.0,0.0
7089.813938214,9780.0,0.0
7089.824160948,9780.0,0.0
7089.834460348,9780.0,0.0
7089.844708248,9780.0,0.0
7089.854793650,9780.0,0.0
7089.865328464,9780.0,0.0
7089.875305450,9780.0,0.0
7089.885572183,9780.0,0.0
7089.895904833,9780.0,0.0
7089.905259325,9780.0,0.0
7089.915387226,9780.0,0.0
7089.925852291,9780.0,0.0
7089.935261783,9780.0,0.0
7089.945436017,9780.0,0.0
7089.961289029,9780.0,0.0
7089.965248074,9780.0,0.0
7089.975523141,9780.0,0.0
7089.986137121,9780.0,0.0
7089.996147357,9780.0,0.0
7090.006411257,9780.0,0.0
7090.023062345,9780.0,0.0
7090.027377886,9780.0,0.0
7090.037691369,9780.0,0.0
7090.048454097,9780.0,0.0
7090.059467740,9780.0,0.0
7090.069514476,9780.0,0.0
7090.080633867,9780.0,0.0
7090.091069182,9780.0,0.0
7090.101260666,9780.0,0.0
7090.119822402,9780.0,0.0
7090.121589552,9780.0,0.0
7090.131734703,9780.0,0.0
7090.143232008,9780.0,0.0
7090.158716357,9780.0,0.0
7090.166029036,9780.0,0.0
7090.177100428,9780.0,0.0
7090.186927832,9780.0,0.0
7090.196899319,9780.0,0.0
7090.206619641,9780.0,0.0
7090.218029779,9780.0,0.0
7090.227647102,9780.0,0.0
7090.237649088,9780.0,0.0
7090.249277809,9780.0,0.0
7090.259091963,9780.0,0.0
7090.269147698,9780.0,0.0
7090.279273683,9780.0,0.0
7090.297899335,9780.0,0.0
7090.298664994,9780.0,0.0
7090.308861062,9780.0,0.0
7090.318138638,9780.0,0.0
7090.328169624,9780.0,0.0
7090.338386607,9780.0,0.0
7090.348430010,9780.0,0.0
7090.358765659,9780.0,0.0
7090.367967569,9780.0,0.0
7090.378066138,9780.0,0.0
7090.388408954,9780.0,0.0
7090.398563855,9780.0,0.0
7090.408899421,9780.0,0.0
7090.419325903,9780.0,0.0
7090.429784134,9780.0,0.0
7090.439878369,9780.0,0.0
7090.450417933,9780.0,0.0
7090.460782749,9780.0,0.0
7090.471195731,9780.0,0.0
7090.482884617,9780.0,0.0
7090.490662208,9780.0,0.0
7090.500935108,9780.0,0.0
7090.511284007,9780.0,0.0
7090.521926904,9780.0,0.0
7090.531242396,9780.0,0.0
7090.541821127,9780.0,0.0
7090.551335117,9780.0,0.0
7090.569328692,9780.0,0.0
7090.572458328,9780.0,0.0
7090.582204900,9780.0,0.0
7090.594205700,9780.0,0.0
7090.601832959,9780.0,0.0
7090.612173442,9780.0,0.0
7090.625261731,9780.0,0.0
7090.632750408,9780.0,0.0
7090.641801153,9780.0,0.0
7090.651646890,9780.0,0.0
7090.662738616,9780.0,0.0
7090.672269190,9780.0,0.0
7090.685844724,9780.0,0.0
7090.692240495,9780.0,0.0
7090.701294074,9780.0,0.0
7090.711410725,9780.0,0.0
7090.721881873,9780.0,0.0
7090.731155366,9780.0,0.0
7090.741834262,9780.0,0.0
7090.762684809,9780.0,0.0
7090.762738309,9780.0,0.0
7090.771715221,9780.0,0.0
7090.782188619,9780.0,0.0
7090.791562945,9780.0,0.0
7090.801403516,9780.0,0.0
7090.812714989,9780.0,0.0
7090.833290122,9780.0,0.0
7090.833348455,9780.0,0.0
7090.841987787,9780.0,0.0
7090.853049513,9780.0,0.0
7090.861773844,9780.0,0.0
7090.874610719,9780.0,0.0
7090.882367727,9780.0,0.0
7090.901563374,9780.0,0.0
7090.902733529,9780.0,0.0
7090.912924596,9780.0,0.0
7090.923054164,9780.0,0.0
7090.933330148,9780.0,0.0
7090.943555715,9780.0,0.0
7090.954481358,9780.0,0.0
7090.962916443,9780.0,0.0
7090.973161176,9780.0,0.0
7090.983468493,9780.0,0.0
7090.993679227,9780.0,0.0
7091.003083885,9780.0,0.0
7091.013686199,9780.0,0.0
7091.024417177,9780.0,0.0
7091.034720077,9780.0,0.0
7091.043863905,9780.0,0.0
7091.054281053,9780.0,0.0
7091.064421621,9780.0,0.0
7091.074167693,9780.0,0.0
7091.084172179,9780.0,0.0
7091.094935324,9780.0,0.0
7091.104687146,9780.0,0.0
7091.114771964,9780.0,0.0
7091.125050781,9780.0,0.0
7091.135388013,9780.0,0.0
7091.145592747,9780.0,0.0
7091.156180561,9780.0,0.0
7091.166236130,9780.0,0.0
7091.176562863,9780.0,0.0
7091.187158509,9780.0,0.0
7091.196763499,9780.0,0.0
7091.206648736,9780.0,0.0
7091.221023263,9780.0,0.0
7091.230305173,9780.0,0.0
7091.236600195,9780.0,0.0
7091.251123637,9780.0,0.0
7091.258774895,9780.0,0.0
7091.268791714,9780.0,0.0
7091.287171286,9780.0,0.0
7091.290152173,9780.0,0.0
7091.299266168,9780.0,0.0
7091.309779065,9780.0,0.0
7091.320902707,9780.0,0.0
7091.331340439,9780.0,0.0
7091.341233509,9780.0,0.0
7091.350977831,9780.0,0.0
7091.361937141,9780.0,0.0
7091.370270810,9780.0,0.0
7091.380300462,9780.0,0.0
7091.390492196,9780.0,0.0
7091.400768513,9780.0,0.0
7091.409973423,9780.0,0.0
7091.420154407,9780.0,0.0
7091.430519473,9780.0,0.0
7091.441763197,9780.0,0.0
7091.450103949,9780.0,0.0
7091.460384849,9780.0,0.0
7091.470607749,9780.0,0.0
7091.480797400,9780.0,0.0
7091.491278381,9780.0,0.0
7091.504413337,9780.0,0.0
7091.514090576,9780.0,0.0
7091.522061165,9780.0,0.0
7091.532639562,9780.0,0.0
7091.543301125,9780.0,0.0
7091.561797445,9780.0,0.0
7091.562389106,9780.0,0.0
7091.572840087,9780.0,0.0
7091.582982322,9780.0,0.0
7091.593952132,9780.0,0.0
7091.603390790,9780.0,0.0
7091.613796855,9780.0,0.0
7091.623178347,9780.0,0.0
7091.638092368,9780.0,0.0
7091.643619481,9780.0,0.0
