%time,field.velocity,field.angle
6617.570603355,9780.0,0.0
6617.581407916,9780.0,0.0
6617.590363912,9780.0,0.0
6617.600583729,9780.0,0.0
6617.612792361,9780.0,0.0
6617.620977614,9780.0,0.0
6617.638699775,9780.0,0.0
6617.642628570,9780.0,0.0
6617.654863451,9780.0,0.0
6617.683590671,9780.0,0.0
6617.683637921,9780.0,0.0
6617.693533908,9780.0,0.0
6617.702693985,9780.0,0.0
6617.706966110,9780.0,0.0
6617.736351991,9780.0,0.0
6617.736708321,9780.0,0.0
6617.739677958,9780.0,0.0
6617.754031652,9780.0,0.0
6617.764477800,9780.0,0.0
6617.788728231,9780.0,0.0
6617.788758730,9780.0,0.0
6617.794513924,9780.0,0.0
6617.805037572,9780.0,0.0
6617.814100400,9780.0,0.0
6617.828546843,9780.0,0.0
6617.835201028,9780.0,0.0
6617.846235171,9780.0,0.0
6617.855172084,9780.0,0.0
6617.864305495,9780.0,0.0
6617.874525479,9780.0,0.0
6617.884610130,9780.0,0.0
6617.894743365,9780.0,0.0
6617.908012736,9780.0,0.0
6617.918360552,9780.0,0.0
6617.926227142,9780.0,0.0
6617.940136673,9780.0,0.0
6617.946840774,9780.0,0.0
6617.957240257,9780.0,0.0
6617.967017078,9780.0,0.0
6617.979610039,9780.0,0.0
6617.995423135,9780.0,0.0
6617.999886591,9780.0,0.0
6618.009376499,9780.0,0.0
6618.019476734,9780.0,0.0
6618.029760050,9780.0,0.0
6618.041942265,9780.0,0.0
6618.050610431,9780.0,0.0
6618.066769273,9780.0,0.0
6618.074090452,9780.0,0.0
6618.083140864,9780.0,0.0
6618.093768260,9780.0,0.0
6618.103592665,9780.0,0.0
6618.113765649,9780.0,0.0
6618.123113558,9780.0,0.0
6618.133557123,9780.0,0.0
6618.143015614,9780.0,0.0
6618.153230515,9780.0,0.0
6618.163405082,9780.0,0.0
6618.173933730,9780.0,0.0
6618.183009641,9780.0,0.0
6618.193142793,9780.0,0.0
6618.203494275,9780.0,0.0
6618.215889488,9780.0,0.0
6618.223430081,9780.0,0.0
6618.233517816,9780.0,0.0
6618.249551160,9780.0,0.0
6618.253163708,9780.0,0.0
6618.263511441,9780.0,0.0
6618.273748175,9780.0,0.0
6618.283913076,9780.0,0.0
6618.294228475,9780.0,0.0
6618.304726540,9780.0,0.0
6618.316172428,9780.0,0.0
6618.325104925,9780.0,0.0
6618.335726404,9780.0,0.0
6618.345631058,9780.0,0.0
6618.354814219,9780.0,0.0
6618.365153451,9780.0,0.0
6618.375367602,9780.0,0.0
6618.385532253,9780.0,0.0
6618.396148483,9780.0,0.0
6618.405685223,9780.0,0.0
6618.414832051,9780.0,0.0
6618.425354115,9780.0,0.0
6618.435666515,9780.0,0.0
6618.445902248,9780.0,0.0
6618.455410406,9780.0,0.0
6618.466062135,9780.0,0.0
6618.476376785,9780.0,0.0
6618.485351614,9780.0,0.0
6618.496162759,9780.0,0.0
6618.506173828,9780.0,0.0
6618.516438895,9780.0,0.0
6618.527040042,9780.0,0.0
6618.537067694,9780.0,0.0
6618.547541175,9780.0,0.0
6618.557464245,9780.0,0.0
6618.567632980,9780.0,0.0
6618.577959546,9780.0,0.0
6618.588128780,9780.0,0.0
6618.598241265,9780.0,0.0
6618.608530831,9780.0,0.0
6618.619013063,9780.0,0.0
6618.627945142,9780.0,0.0
6618.638326208,9780.0,0.0
6618.648440193,9780.0,0.0
6618.658566178,9780.0,0.0
6618.668839994,9780.0,0.0
6618.678136904,9780.0,0.0
6618.688437387,9780.0,0.0
6618.698881952,9780.0,0.0
6618.713400477,9780.0,0.0
6618.720308493,9780.0,0.0
6618.730649559,9780.0,0.0
6618.741605119,9780.0,0.0
6618.752754927,9780.0,0.0
6618.762170085,9780.0,0.0
6618.774243051,9780.0,0.0
6618.783004049,9780.0,0.0
6618.792856120,9780.0,0.0
6618.802036197,9780.0,0.0
6618.813760166,9780.0,0.0
6618.824401729,9780.0,0.0
6618.833329809,9780.0,0.0
6618.843409211,9780.0,0.0
6618.856191503,9780.0,0.0
6618.863863178,9780.0,0.0
6618.873027339,9780.0,0.0
6618.883215157,9780.0,0.0
6618.893561139,9780.0,0.0
6618.903737957,9780.0,0.0
6618.913972441,9780.0,0.0
6618.924315256,9780.0,0.0
6618.934483241,9780.0,0.0
6618.944634309,9780.0,0.0
6618.954835626,9780.0,0.0
6618.965059360,9780.0,0.0
6618.975277344,9780.0,0.0
6618.985524410,9780.0,0.0
6618.995675395,9780.0,0.0
6619.005542799,9780.0,0.0
6619.015659950,9780.0,0.0
6619.025939684,9780.0,0.0
6619.035347759,9780.0,0.0
6619.046301152,9780.0,0.0
6619.057380044,9780.0,0.0
6619.064924054,9780.0,0.0
6619.075701366,9780.0,0.0
6619.086019599,9780.0,0.0
6619.095402257,9780.0,0.0
6619.108628962,9780.0,0.0
6619.122403078,9780.0,0.0
6619.128735683,9780.0,0.0
6619.139030916,9780.0,0.0
6619.145166689,9780.0,0.0
6619.155744336,9780.0,0.0
6619.165842905,9780.0,0.0
6619.181108923,9780.0,0.0
6619.204742443,9780.0,0.0
6619.204863358,9780.0,0.0
6619.208130160,9780.0,0.0
6619.219766130,9780.0,0.0
6619.228541377,9780.0,0.0
6619.238631029,9780.0,0.0
6619.249633672,9780.0,0.0
6619.259903322,9780.0,0.0
6619.268898068,9780.0,0.0
6619.279511548,9780.0,0.0
6619.289560617,9780.0,0.0
6619.299728851,9780.0,0.0
6619.309218925,9780.0,0.0
6619.319710073,9780.0,0.0
6619.329869557,9780.0,0.0
6619.340340039,9780.0,0.0
6619.350529773,9780.0,0.0
6619.366359785,9780.0,0.0
6619.370242914,9780.0,0.0
6619.389100647,9780.0,0.0
6619.391317709,9780.0,0.0
6619.401536610,9780.0,0.0
6619.412722001,9780.0,0.0
6619.456597657,9780.0,0.0
6619.456635906,9780.0,0.0
6619.468125211,9780.0,0.0
6619.475868636,9780.0,0.0
6619.485319377,9780.0,0.0
6619.496389936,9780.0,0.0
6619.505914260,9780.0,0.0
6619.515623249,9780.0,0.0
6619.526435477,9780.0,0.0
6619.541198833,9780.0,0.0
6619.547246274,9780.0,0.0
6619.557558674,9780.0,0.0
6619.567934239,9780.0,0.0
6619.576968401,9780.0,0.0
6619.587332717,9780.0,0.0
6619.597560118,9780.0,0.0
6619.607613186,9780.0,0.0
6619.618515747,9780.0,0.0
6619.628509066,9780.0,0.0
6619.639043547,9780.0,0.0
6619.649096116,9780.0,0.0
6619.659333099,10580.0,0.0
6619.668176597,10580.0,0.0
6619.678719994,10580.0,0.0
6619.689123059,10580.0,0.0
6619.698174305,10580.0,0.0
6619.710067939,10580.0,0.0
6619.726233531,10580.0,0.0
6619.729158336,10580.0,0.0
6619.739420653,10580.0,0.0
6619.749688803,10580.0,0.0
6619.759962703,10580.0,0.0
6619.770008355,10580.0,0.0
6619.780113090,10580.0,0.0
6619.789936244,10580.0,0.0
6619.801726296,10580.0,0.0
6619.811207954,10580.0,0.0
6619.820164617,10580.0,0.0
6619.830782930,10580.0,0.0
6619.840055423,10580.0,0.0
6619.850262240,10580.0,0.0
6619.861128051,10580.0,0.0
6619.871471117,10580.0,0.0
6619.880363364,10580.0,0.0
6619.891500672,10580.0,0.0
6619.902018320,10580.0,0.0
6619.919699981,10580.0,0.0
6619.925803088,10580.0,0.0
6619.935928906,10580.0,0.0
6619.946765301,10580.0,0.0
6619.955933461,10075.0,0.0
6619.965388286,10075.0,0.0
6619.978170161,10075.0,0.0
6619.986431081,10075.0,0.0
6619.996287568,10075.0,0.0
6620.005962557,10075.0,0.0
6620.016298873,10075.0,0.0
