Objects
100
,,Global Angle car_f1_1:car_f1_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
89,0,0.0575748,-0.0876969,1.43399,-8.02147,-527.567,304.587
90,0,0.0574518,-0.0861364,1.41593,-24.0901,-522.309,304.434
91,0,0.0603606,-0.0835803,1.40125,-40.4667,-517.835,305.008
92,0,0.0638135,-0.0926214,1.38871,-56.7075,-513.283,304.638
93,0,0.0630458,-0.0981099,1.37294,-72.8761,-508.28,304.277
94,0,0.0624369,-0.0950571,1.35661,-88.9993,-502.418,304.963
95,0,0.0587709,-0.092906,1.34529,-104.083,-497.146,305.204
96,0,0.0612651,-0.0904451,1.33249,-119.377,-491.557,305.952
97,0,0.0615865,-0.09092,1.31585,-135.145,-484.475,306.224
98,0,0.0589899,-0.0943872,1.30216,-151.196,-478,305.862
99,0,0.0577658,-0.0985611,1.28742,-167.016,-471.432,305.324
100,0,0.0597387,-0.101692,1.27171,-182.789,-464.405,304.987
101,0,0.0569933,-0.102442,1.25687,-198.052,-457.34,304.5
102,0,0.0563613,-0.102803,1.24444,-213.366,-449.93,304.035
103,0,0.0556244,-0.101528,1.23156,-228.865,-442.269,304.116
104,0,0.0522143,-0.103035,1.21853,-244.256,-433.765,303.773
105,0,0.0492892,-0.106131,1.20325,-259.593,-425.047,303.095
106,0,0.0477546,-0.10535,1.18905,-274.522,-416.471,302.988
107,0,0.0411855,-0.103688,1.17057,-288.848,-407.067,302.425
108,0,0.0386435,-0.102687,1.15486,-303.036,-398.025,302.291
109,0,0.0426237,-0.103831,1.14675,-317.957,-388.93,302.552
110,0,0.0395611,-0.103572,1.12918,-331.849,-379.077,302.225
111,0,0.040854,-0.0998465,1.1163,-346.174,-369.84,302.676
112,0,0.0375924,-0.101658,1.09524,-359.342,-360.125,302.293
113,0,0.0352886,-0.101929,1.08063,-373.5,-349.452,302.218
114,0,0.0314178,-0.100401,1.06379,-387.604,-339.1,302.155
115,0,0.0312147,-0.101923,1.05033,-401.673,-329.354,302.304
116,0,0.0324268,-0.103903,1.03705,-415.484,-319.02,302.311
117,0,0.0340195,-0.104636,1.02267,-428.426,-307.599,302.049
118,0,0.034832,-0.102779,1.0084,-440.895,-296.507,301.644
119,0,0.0336636,-0.0965587,0.995336,-453.117,-285.759,301.272
120,0,0.0315104,-0.0960385,0.977962,-465.15,-273.944,300.71
121,0,0.0342967,-0.095207,0.971589,-478.324,-263.182,300.875
122,0,0.032859,-0.0953494,0.956534,-491.033,-251.773,300.523
123,0,0.0325829,-0.098885,0.939546,-503.404,-239.623,300.246
124,0,0.030673,-0.094646,0.923864,-515.896,-228.115,300.49
125,0,0.0313024,-0.0987308,0.909204,-528.069,-216.192,300.646
126,0,0.030252,-0.101175,0.895314,-539.774,-203.675,300.508
127,0,0.0310818,-0.0990447,0.882663,-551.419,-191.466,300.995
128,0,0.030416,-0.10039,0.869557,-562.781,-179.04,300.559
129,0,0.0295259,-0.0995681,0.851671,-573.106,-165.845,300.051
130,0,0.0311041,-0.0999111,0.839282,-583.952,-153.526,299.522
131,0,0.0317966,-0.0964594,0.826561,-594.58,-140.504,299.455
132,0,0.0318906,-0.0955646,0.81282,-604.457,-127.073,299.316
133,0,0.0300156,-0.092352,0.800616,-614.894,-113.802,299.069
134,0,0.0276465,-0.091404,0.784477,-624.166,-99.4071,298.617
135,0,0.0285419,-0.0935177,0.771494,-634.107,-85.6342,298.699
136,0,0.0263878,-0.0929228,0.759868,-643.947,-72.7637,298.783
137,0,0.0252473,-0.0879088,0.740369,-652.915,-58.4291,299.191
